native,class
wind in ten 2m,property
maximum gust in minute period to time 4m,property
maximum gust minute period prior observation at 2m,property
gust in minute to time at 4m,property
maximum period prior to time at 4m,property
gust in ten prior to 4m,property
in ten prior to 2m,property
gust in one period observation at,property
maximum wind in one prior to observation time at 2m,property
maximum gust in one period prior time 4m,property
gust in one hour period at,property
gust in hour period prior to at 4m,property
maximum wind gust prior to time,property
maximum in ten observation time 4m,property
average speed 4m level,property
maximum wind in one hour prior time 4m,property
gust in ten period to time at 4m,property
wind peak above level,property
wind in ten prior to observation time at 2m,property
s or sulphite s concentration,property
coloured and matter,property
maximum in minute prior to 2m,property
concentration or iron concentration,property
maximum wind gust in hour period prior to observation time at 4m,property
maximum gust in hour period to observation,property
gust in hour prior observation,property
minute period prior observation time 4m,property
gust hour period to time 2m,property
period to at 4m,property
average 4m,property
gust one period at,property
minute observation time,property
content,property
maximum gust hour period observation time at 2m,property
maximum gust in hour period prior observation time,property
wind gust ten period prior to observation at 4m,property
maximum one hour prior observation at 4m,property
wind gust in hour prior observation at,property
in hour to observation 2m,property
average wind direction 4m above,property
maximum minute to time at 4m,property
maximum wind ten to observation 4m,property
as concentration s concentration,property
maximum gust in prior to time at 4m,property
time at,property
maximum in ten minute to observation 4m,property
1 dichloro butene concentration,property
maximum wind gust in ten minute period to observation at 2m,property
maximum wind in ten period prior to observation time at,property
wind gust one hour to observation time 4m,property
one mean wind speed 2m above ground,property
maximum wind hour period to observation time at 2m,property
speed avg 10,property
maximum wind to at 4m,property
or sulfide as s,property
wind minute period to at 2m,property
maximum one period prior observation time at,property
gust one hour to,property
gust in prior observation time at 2m,property
wind in ten minute observation at 4m,property
sulfite as as s concentration,property
maximum prior to at,property
maximum wind gust in minute period to at 2m,property
maximum gust hour period to observation time,property
maximum wind in one hour period prior to time 2m,property
maximum wind in one observation,property
benzene ethylbenzene xylene,property
wind in prior to time,property
gust hour prior to at 4m,property
maximum wind gust in ten minute period to,property
nett accumulation station,property
wind gust in minute period prior observation at 4m,property
total,property
wind in prior to observation time at 2m,property
wind gust in one period to observation time 4m,property
wind gust in minute prior observation at 2m,property
